Time (ms),Notes,Category,Operation,Window,Source,"[X client socket 16315 ← server socket 23237]
← Event/Reply from X server
→ Request to X server","[X client socket 17359 ← server socket 23242]
← Event/Reply from X server
→ Request to X server","[X client socket 24884 ← server socket 23244]
← Event/Reply from X server
→ Request to X server","[X client socket 25851 ← server socket 23222]
← Event/Reply from X server
→ Request to X server","[X client socket 25852 ← server socket 23224]
← Event/Reply from X server
→ Request to X server","[X client socket 25853 ← server socket 23227]
← Event/Reply from X server
→ Request to X server","[X client socket 25873 ← server socket 23280]
← Event/Reply from X server
→ Request to X server","[X client socket 25874 ← server socket 23282]
← Event/Reply from X server
→ Request to X server","[X client socket 25876 ← server socket 23283]
← Event/Reply from X server
→ Request to X server","[X client socket 25885 ← server socket 29770]
← Event/Reply from X server
→ Request to X server","[X client socket 29461 ← server socket 23225]
← Event/Reply from X server
→ Request to X server","[X client socket 29463 ← server socket 23226]
← Event/Reply from X server
→ Request to X server","[X client socket 29466 ← server socket 23240]
← Event/Reply from X server
→ Request to X server","[X client socket 29473 ← server socket 23273]
← Event/Reply from X server
→ Request to X server","[steam | PID 679]
← Event/Reply from X server
→ Request to X server","[steam.exe | PID 1439,
 wineserver | PID 1441]
← Event/Reply from X server
→ Request to X server","[steamwebhelper | PID 693]
← Event/Reply from X server
→ Request to X server","[steamwebhelper | PID 693]
← Event/Reply from X server
→ Request to X server","[steamwebhelper | PID 693]
← Event/Reply from X server
→ Request to X server","[steamwebhelper | PID 737]
← Event/Reply from X server
→ Request to X server","[RDR2.exe | PID 1802]
← Event/Reply from X server
→ Request to X server","[explorer.exe | PID 1483]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 Launcher.exe | PID 1519]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 RDR2.exe | PID 1802]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 RDR2.exe | PID 1802]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 RockstarErrorHa | PID 1521]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 crashpad_handle | PID 1821]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 explorer.exe | PID 1483]
← Event/Reply from X server
→ Request to X server","[wineserver | PID 1441,
 tabtip.exe | PID 1500]
← Event/Reply from X server
→ Request to X server","[sommelier | PID 388]
← Event/Reply from X server
→ Request to X server","[sommelier | PID 388]
← Event/Reply from X server
→ Request to X server","[Xwayland]
→ Sommelier","[sommelier]
→ XWayland","[sommelier]
→ Exo"
0.0,,X11 drawing operations,FreeGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 60 (FreeGC) { gc: 0x04a00081 } 
0.0,,X11 drawing operations,FreeGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 60 (FreeGC) { gc: 0x04a00080 } 
0.0,,X11 drawing operations,CreateGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 55 (CreateGC) { cid: 0x04a00082; drawable: 0x04a00002; gc-value-mask: 0x00000000 } 
0.0,,X11 drawing operations,CreateGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 55 (CreateGC) { cid: 0x04a00083; drawable: 0x04a00002; gc-value-mask: 0x00000000 } 
0.0,,X11 drawing operations,FreeGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 60 (FreeGC) { gc: 0x04a00083 } 
0.0,,X11 drawing operations,FreeGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 60 (FreeGC) { gc: 0x04a00082 } 
0.0,,X11 drawing operations,CreateGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 55 (CreateGC) { cid: 0x04a00084; drawable: 0x04a00002; gc-value-mask: 0x00000000 } 
0.0,,X11 drawing operations,CreateGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,→ 55 (CreateGC) { cid: 0x04a00085; drawable: 0x04a00002; gc-value-mask: 0x00000000 } 
0.41699999998672865,,X11 drawing operations,BadDrawable,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,←⚠️ errorcode: 9 (BadDrawable) { error: 0; errorcode: 9 (BadDrawable); error_sequencenumber: 560; error-badresourceid: 0x04e00005; minor-opcode: 0; major-opcode: 55; undecoded } 
0.48599999997531995,,X11 drawing operations,BadGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,←⚠️ errorcode: 13 (BadGC) { error: 0; errorcode: 13 (BadGC); error_sequencenumber: 561; error-badresourceid: 0x04a0007f; minor-opcode: 0; major-opcode: 59; undecoded } 
0.5489999999990687,,X11 drawing operations,BadGC,,RDR2.exe | PID 1802,,,,,,,,,,,,,,,,,,,,,←⚠️ errorcode: 13 (BadGC) { error: 0; errorcode: 13 (BadGC); error_sequencenumber: 562; error-badresourceid: 0x04a0007f; minor-opcode: 0; major-opcode: 59; undecoded } 
